매장이름,위도주소,경도주소,매장타입,매장주소,시도
스타필드고양1FR,37.64697,126.895523,reserve,경기도 고양시 덕양구 고양대로 1955 (동산동),경기도
고양삼송,37.66367285,126.8912924,general,경기도 고양시 덕양구 신원동 628-2,경기도
고양DT,37.7095394,126.9052947,generalDT,경기도 고양시 덕양구 호국로 1775 (고양동),경기도
행신역,37.6141133,126.8343314,general,경기도 고양시 덕양구 충장로 14 (행신동),경기도
원당DT,37.658155,126.837639,generalDT,경기도 고양시 덕양구 호국로 811 (주교동),경기도
화정,37.63353224,126.8314538,general,경기도 고양시 덕양구 화신로272번길 57 (화정동),경기도
화정역,37.63345096,126.8329064,general,경기도 고양시 덕양구 화신로260번길 57 (화정동),경기도
고양덕은,37.5795084,126.870239,general,경기도 고양시 덕양구 으뜸로 130 (덕은동),경기도
고양행신,37.623815,126.834306,general,경기도 고양시 덕양구 충장로 126 (행신동),경기도
고양원흥DT,37.636819,126.869261,generalDT,경기도 고양시 덕양구 서오릉로663번길 8 (원흥동),경기도
고양향동,37.59884143,126.8926607,general,경기도 고양시 덕양구 꽃마을로 4 (향동동),경기도
지축역,37.64990229,126.91431,general,경기도 고양시 덕양구 지축로 56 (지축동),경기도
화정호국로,37.64181637,126.8295961,general,경기도 고양시 덕양구 화수로14번길 72 (화정동),경기도
신흥역,37.440935,127.146642,general,경기도 성남시 수정구 산성대로 267 (신흥동),경기도
성남위례,37.472839,127.141062,general,경기도 성남시 수정구 위례광장로 104 (창곡동),경기도
성남이마트,37.4442471,127.1414571,general,경기도 성남시 수정구 수정로 201 (태평1동) 신세계쉐덴,경기도
가천대학교,37.44941,127.1272,general,경기도 성남시 수정구 성남대로 1342 (복정동),경기도
수진역,37.43899037,127.1422499,general,경기도 성남시 수정구 산성대로 223 (신흥동) 1층,경기도
성남태평,37.44256128,127.1365889,general,경기도 성남시 수정구 수정로 149 (태평동) 1~2층,경기도
판교아이스퀘어,37.41302843,127.0981555,general,경기도 성남시 수정구 창업로 18(시흥동),경기도
성남모란삼성,37.43390859,127.1278594,general,경기도 성남시 수정구 산성대로 81 (수진동),경기도
남위례역,37.4646,127.14142,general,경기도 성남시 수정구 위례광장로 9-9 (창곡동),경기도
판교제2테크노밸리,37.4110851,127.0946316,general,경기도 성남시 수정구 창업로 54 (시흥동),경기도
여주DT,37.26613937,127.6385358,generalDT,경기도 여주시 세종로 358 (점봉동)_1,경기도
여주P.아울렛입구,37.24051058,127.6119001,general,경기도 여주시 명품로 360 2004호 (상거동),경기도
여주P.아울렛,37.24243623,127.6123947,general,경기도 여주시 명품로 360 2400호 (상거동),경기도
여주프리미엄빌리지,37.2426426,127.6153432,general,경기도 여주시 명품1로 22-2 (상거동),경기도
여주남한강DT,37.30041399,127.6481616,generalDT,경기도 여주시 강변북로 11 (천송동),경기도
여주자유CC,37.2089834,127.5702741,general,경기도 여주시 가남읍 자유그린길 69 ,경기도
서여주IC DT,37.29813532,127.6029336,generalDT,경기도 여주시 세종대왕면 중부대로 2685 중부대로 2685,경기도
평택비전,36.99882806,127.1142641,general,경기도 평택시 비전5로 20-24 (비전동),경기도
평택서정DT,37.066066,127.063519,generalDT,경기도 평택시 경기대로 1353 (서정동),경기도
평택안중DT,36.99081604,126.9133757,generalDT,경기도 평택시 안중읍 서동대로 1459 ,경기도
평택로데오,36.99183,127.0884,general,경기도 평택시 중앙2로 13 (평택동),경기도
평택AK플라자,36.99189,127.085398,general,경기도 평택시 평택로 51 (평택동) 평택역,경기도
평택송탄,37.06659128,127.0630439,general,경기도 평택시 관광특구로 38 (서정동),경기도
평택독곡DT,37.08708159,127.06312,generalDT,경기도 평택시 경기대로 1600 (독곡동),경기도
평택이충DT,37.05196981,127.0771295,generalDT,경기도 평택시 청원로 1388 (이충동),경기도
평택죽백DT,37.0138066,127.1134612,generalDT,경기도 평택시 만세로 1707 (죽백동),경기도
평택청북DT,37.02017327,126.9150011,generalDT,경기도 평택시 청북읍 안청로2길 86 ,경기도
평택고덕에듀타운,37.03636707,127.0273831,general,경기도 평택시 고덕로 245 (고덕동),경기도
